nr	ANNEX A: controls SECTION	section	ANNEX A: controls TITLE	Appendix A 27001 Control specification	HIGH LEVEL INTERPRETATION 	Decomposed USM statements	CTM	CHM	MIR	INC	OPS	RIM	TECH	SDC	ORG	SERV
45	Organisational Controls	Annex A 5.2	Information Security Roles and Responsibilities	Information security roles and responsibilities shall be defined and allocated according to the organization needs.		ASSET_SW_SDCTOOL_REGCHM_RECORD exist for defining and allocating information security roles and responsibilities.		CHM					TECH	SDC		
46	Organisational Controls	Annex A 5.3	Segregation of Duties	Conflicting duties and conflicting areas of responsibility shall be segregated.	Personnel must have registered duties and areas of responsibilities in Profiles, so we an determine conflicts. Duties and areas of responsibility are qualified as 'conflicting' when the Profiles associated with these are considered to be conflicting.											
47	Organisational Controls	Annex A 5.3	Segregation of Duties	Conflicting duties and conflicting areas of responsibility shall be segregated.		DOC is a class of MIC.		CHM	MIR							
48	Organisational Controls	Annex A 5.3	Segregation of Duties	Conflicting duties and conflicting areas of responsibility shall be segregated.		DOC_PROFILE is a Document type Profile, specifying tasks, authorities, responsibilities that can be assigned as a role or function package to a ORG_UNIT_PERSONNEL, and it has a field <security> and a list of other DOC_PROFILE it conflicts with, and it is classified as <manager>, <coordinator>, or <operator>.		CHM	MIR						ORG	
49	Organisational Controls	Annex A 5.3	Segregation of Duties	Conflicting duties and conflicting areas of responsibility shall be segregated.		DOC_PROFILE is not assigned to an ORG_UNIT_PERSONNEL with a conflicting DOC_PROFILE.									ORG	
50	Organisational Controls	Annex A 5.3	Segregation of Duties	Conflicting duties and conflicting areas of responsibility shall be segregated.		DOC_PROFILE_TASK is a Document type Profile type Task, specifying authorities and responsibilities for actions that are part of a DOC_PROFILE.		CHM	MIR						ORG	
51	Organisational Controls	Annex A 5.3	Segregation of Duties	Conflicting duties and conflicting areas of responsibility shall be segregated.		DOC_PROFILE_TASK_conflictdutiesandresp exist, responsible for segregating conflicting duties and responsibilities.		CHM	MIR						ORG	
52	Organisational Controls	Annex A 5.3	Segregation of Duties	Conflicting duties and conflicting areas of responsibility shall be segregated.		ORG is a class of MIC.		CHM	MIR						ORG	
53	Organisational Controls	Annex A 5.3	Segregation of Duties	Conflicting duties and conflicting areas of responsibility shall be segregated.		ORG_UNIT is an Organization type Team.		CHM	MIR						ORG	
54	Organisational Controls	Annex A 5.3	Segregation of Duties	Conflicting duties and conflicting areas of responsibility shall be segregated.		ORG_UNIT_PERSONNEL is an Organization type Team type Personnel.		CHM	MIR						ORG	
55	Organisational Controls	Annex A 5.3	Segregation of Duties	Conflicting duties and conflicting areas of responsibility shall be segregated.		ORG_UNIT_PERSONNEL exist, assigned with the DOC_PROFILE_TASK_conflictdutiesandresp.		CHM	MIR						ORG	
56	Organisational Controls	Annex A 5.4	Management Responsibilities	Management shall require all personnel to apply information security in accordance with the established information security policy, topic-specific policies and procedures of the organization.	We know who is qualified as 'management': these are the coordinators of the organization. All personnel is registered. Established policies are MICs in the MIR.  The Profile 'manager' must have the task to instruct all Personnel about established policies.											
57	Organisational Controls	Annex A 5.4	Management Responsibilities	Management shall require all personnel to apply information security in accordance with the established information security policy, topic-specific policies and procedures of the organization.		ORG is a class of MIC.		CHM	MIR						ORG	
58	Organisational Controls	Annex A 5.4	Management Responsibilities	Management shall require all personnel to apply information security in accordance with the established information security policy, topic-specific policies and procedures of the organization.		ORG_UNIT is an Organization type Team.		CHM	MIR						ORG	
59	Organisational Controls	Annex A 5.4	Management Responsibilities	Management shall require all personnel to apply information security in accordance with the established information security policy, topic-specific policies and procedures of the organization.		ORG_UNIT_PERSONNEL is an Organization type Team type Personnel.		CHM	MIR						ORG	
60	Organisational Controls	Annex A 5.4	Management Responsibilities	Management shall require all personnel to apply information security in accordance with the established information security policy, topic-specific policies and procedures of the organization.		DOC is a class of MIC.		CHM	MIR							
61	Organisational Controls	Annex A 5.4	Management Responsibilities	Management shall require all personnel to apply information security in accordance with the established information security policy, topic-specific policies and procedures of the organization.		DOC_PROFILE is a Document type Profile, specifying tasks, authorities, responsibilities that can be assigned as a role or function package to a ORG_UNIT_PERSONNEL, and it has a field <security> and a list of other DOC_PROFILE it conflicts with, and it is classified as <manager>, <coordinator>, or <operator>.		CHM	MIR						ORG	
62	Organisational Controls	Annex A 5.4	Management Responsibilities	Management shall require all personnel to apply information security in accordance with the established information security policy, topic-specific policies and procedures of the organization.		DOC_PROFILE_COORD exist, responsible for  requiring all their ORG_UNIT_PERSONNEL to apply information security in accordance with the established  DOC_POLICY_infosec  and other topic-specific DOC_POLICY and DOC_ROUTINE of the organization.		CHM	MIR						ORG	
63	Organisational Controls	Annex A 5.4	Management Responsibilities	Management shall require all personnel to apply information security in accordance with the established information security policy, topic-specific policies and procedures of the organization.		DOC_PROFILE_MGR exist, responsible for agreeing with DOC_PROFILE_coordinator that all their ORG_UNIT_PERSONNEL apply information security in accordance with the established  DOC_POLICICY_infosec  and other topic-specific DOC_POLICY and DOC_ROUTINE of the organization, and enabling the execution of this.		CHM	MIR						ORG	
64	Organisational Controls	Annex A 5.4	Management Responsibilities	Management shall require all personnel to apply information security in accordance with the established information security policy, topic-specific policies and procedures of the organization.		ORG_UNIT_PERSONNEL exist, assigned with the DOC_PROFILE_coordinator.		CHM	MIR						ORG	
65	Organisational Controls	Annex A 5.5	Contact With Authorities	The organization shall establish and maintain contact with relevant authorities.	Relevant authorities need to be registered as a type of Organization.  The task to maintain contact with these authorities must be assigned to registered personnel.  We need records in the database that proof that this task is excecuted.											
66	Organisational Controls	Annex A 5.5	Contact With Authorities	The organization shall establish and maintain contact with relevant authorities.		ORG is a class of MIC.		CHM	MIR						ORG	
67	Organisational Controls	Annex A 5.5	Contact With Authorities	The organization shall establish and maintain contact with relevant authorities.		ORG_PARTNER is an Organization type Partner that has field <relevant authority>, <special interest group>, <specialist security forum> and <professional association>.	CTM	CHM	MIR						ORG	
68	Organisational Controls	Annex A 5.5	Contact With Authorities	The organization shall establish and maintain contact with relevant authorities.		ASSET is a class of MIC.		CHM	MIR							
69	Organisational Controls	Annex A 5.5	Contact With Authorities	The organization shall establish and maintain contact with relevant authorities.		ASSET_SW is an Asset type Software, has a field <licensed>.		CHM	MIR				TECH			
70	Organisational Controls	Annex A 5.5	Contact With Authorities	The organization shall establish and maintain contact with relevant authorities.		ASSET_SW_SDCTOOL is an Asset type Software used for managing, coordinating, and executing the service delivery, including coordination function with Registers for Wishes (ASSET_SW_SDCTOOL_REGCTM), Changes (ASSET_SW_SDCTOOL_REGCHM), Incidents (ASSET_SW_SDCTOOL_REGINC), Service requests (ASSET_SW_SDCTOOL_REGOPS), and Risks (ASSET_SW_SDCTOOL_REGRIM).		CHM	MIR				TECH	SDC		
71	Organisational Controls	Annex A 5.5	Contact With Authorities	The organization shall establish and maintain contact with relevant authorities.		ASSET_SW_SDCTOOL_REGOPS is a Register for Service requests in the ASSET_SW_SDCTOOL.					OPS		TECH	SDC		
72	Organisational Controls	Annex A 5.5	Contact With Authorities	The organization shall establish and maintain contact with relevant authorities.		ASSET_SW_SDCTOOL_REGOPS_RECORD is a record in the ASSET_SW_SDCTOOL_REGOPS, containing a field <uses projmgt technique>, and classified, including class <information security risk>.					OPS		TECH	SDC		
73	Organisational Controls	Annex A 5.5	Contact With Authorities	The organization shall establish and maintain contact with relevant authorities.		ASSET_SW_SDCTOOL_REGOPS_OPScalendar with planned actions of ASSET_SW_SDCTOOL_REGOPS assigned to Personnel, is part of the SDCTOOL.					OPS		TECH	SDC		
74	Organisational Controls	Annex A 5.5	Contact With Authorities	The organization shall establish and maintain contact with relevant authorities.		ASSET_SW_SDCTOOL_REGOPS_OPScalendar has planned actions for contacting ORG_PARTNER <relevant autorities>.					OPS					
75	Organisational Controls	Annex A 5.5	Contact With Authorities	The organization shall establish and maintain contact with relevant authorities.		DOC is a class of MIC.		CHM	MIR							
76	Organisational Controls	Annex A 5.5	Contact With Authorities	The organization shall establish and maintain contact with relevant authorities.		DOC_PROFILE is a Document type Profile, specifying tasks, authorities, responsibilities that can be assigned as a role or function package to a ORG_UNIT_PERSONNEL, and it has a field <security> and a list of other DOC_PROFILE it conflicts with, and it is classified as <manager>, <coordinator>, or <operator>.		CHM	MIR						ORG	
77	Organisational Controls	Annex A 5.5	Contact With Authorities	The organization shall establish and maintain contact with relevant authorities.		DOC_PROFILE_TASK is a Document type Profile type Task, specifying authorities and responsibilities for actions that are part of a DOC_PROFILE.		CHM	MIR						ORG	
78	Organisational Controls	Annex A 5.5	Contact With Authorities	The organization shall establish and maintain contact with relevant authorities.		DOC_PROFILE_TASK_contactrelevantauthorities exist, responsible for establishing and maintaining contact with relevant authorities.		CHM	MIR						ORG	
79	Organisational Controls	Annex A 5.5	Contact With Authorities	The organization shall establish and maintain contact with relevant authorities.		ORG_UNIT is an Organization type Team.		CHM	MIR						ORG	
80	Organisational Controls	Annex A 5.5	Contact With Authorities	The organization shall establish and maintain contact with relevant authorities.		ORG_UNIT_PERSONNEL is an Organization type Team type Personnel.		CHM	MIR						ORG	
81	Organisational Controls	Annex A 5.5	Contact With Authorities	The organization shall establish and maintain contact with relevant authorities.		ORG_UNIT_PERSONNEL exist, assigned with the DOC_PROFILE_TASK_contactrelevantauthorities.		CHM	MIR						ORG	
82	Organisational Controls	Annex A 5.6	Contact With Special Interest Groups	The organization shall establish and maintain contact with special interest groups or other specialist security forums and professional associations.	Partners are qualified as special interest groups or other specialist security forums and professional associations. Regular actions to maintain contact with these are planned in the OPS Calendar.											
83	Organisational Controls	Annex A 5.6	Contact With Special Interest Groups	The organization shall establish and maintain contact with special interest groups or other specialist security forums and professional associations.		ORG is a class of MIC.		CHM	MIR						ORG	
84	Organisational Controls	Annex A 5.6	Contact With Special Interest Groups	The organization shall establish and maintain contact with special interest groups or other specialist security forums and professional associations.		ORG_PARTNER is an Organization type Partner that has field <relevant authority>, <special interest group>, <specialist security forum> and <professional association>.	CTM	CHM	MIR						ORG	
85	Organisational Controls	Annex A 5.6	Contact With Special Interest Groups	The organization shall establish and maintain contact with special interest groups or other specialist security forums and professional associations.		ASSET is a class of MIC.		CHM	MIR							
86	Organisational Controls	Annex A 5.6	Contact With Special Interest Groups	The organization shall establish and maintain contact with special interest groups or other specialist security forums and professional associations.		ASSET_SW is an Asset type Software, has a field <licensed>.		CHM	MIR				TECH			
87	Organisational Controls	Annex A 5.6	Contact With Special Interest Groups	The organization shall establish and maintain contact with special interest groups or other specialist security forums and professional associations.		ASSET_SW_SDCTOOL is an Asset type Software used for managing, coordinating, and executing the service delivery, including coordination function with Registers for Wishes (ASSET_SW_SDCTOOL_REGCTM), Changes (ASSET_SW_SDCTOOL_REGCHM), Incidents (ASSET_SW_SDCTOOL_REGINC), Service requests (ASSET_SW_SDCTOOL_REGOPS), and Risks (ASSET_SW_SDCTOOL_REGRIM).		CHM	MIR				TECH	SDC		
88	Organisational Controls	Annex A 5.6	Contact With Special Interest Groups	The organization shall establish and maintain contact with special interest groups or other specialist security forums and professional associations.		ASSET_SW_SDCTOOL_REGOPS is a Register for Service requests in the ASSET_SW_SDCTOOL.					OPS		TECH	SDC		
89	Organisational Controls	Annex A 5.6	Contact With Special Interest Groups	The organization shall establish and maintain contact with special interest groups or other specialist security forums and professional associations.		ASSET_SW_SDCTOOL_REGOPS_RECORD is a record in the ASSET_SW_SDCTOOL_REGOPS, containing a field <uses projmgt technique>, and classified, including class <information security risk>.					OPS		TECH	SDC		
90	Organisational Controls	Annex A 5.6	Contact With Special Interest Groups	The organization shall establish and maintain contact with special interest groups or other specialist security forums and professional associations.		ASSET_SW_SDCTOOL_REGOPS_OPScalendar with planned actions of ASSET_SW_SDCTOOL_REGOPS assigned to Personnel, is part of the SDCTOOL.					OPS		TECH	SDC		
91	Organisational Controls	Annex A 5.6	Contact With Special Interest Groups	The organization shall establish and maintain contact with special interest groups or other specialist security forums and professional associations.		ASSET_SW_SDCTOOL_REGOPS_OPScalendar has planned actions for contacting ORG_PARTNER <special interest group> <specialist security forum> and <professional association>.					OPS					
92	Organisational Controls	Annex A 5.6	Contact With Special Interest Groups	The organization shall establish and maintain contact with special interest groups or other specialist security forums and professional associations.		DOC is a class of MIC.		CHM	MIR							
93	Organisational Controls	Annex A 5.6	Contact With Special Interest Groups	The organization shall establish and maintain contact with special interest groups or other specialist security forums and professional associations.		DOC_PROFILE is a Document type Profile, specifying tasks, authorities, responsibilities that can be assigned as a role or function package to a ORG_UNIT_PERSONNEL, and it has a field <security> and a list of other DOC_PROFILE it conflicts with, and it is classified as <manager>, <coordinator>, or <operator>.		CHM	MIR						ORG	
94	Organisational Controls	Annex A 5.6	Contact With Special Interest Groups	The organization shall establish and maintain contact with special interest groups or other specialist security forums and professional associations.		DOC_PROFILE_TASK is a Document type Profile type Task, specifying authorities and responsibilities for actions that are part of a DOC_PROFILE.		CHM	MIR						ORG	
95	Organisational Controls	Annex A 5.6	Contact With Special Interest Groups	The organization shall establish and maintain contact with special interest groups or other specialist security forums and professional associations.		DOC_PROFILE_OPERATOR is a Document type Profile type Operator, specifying tasks, authorities, responsibilities that can be assigned as a role or function package to an ORG_UNIT_PERSONNEL.		CHM	MIR						ORG	
96	Organisational Controls	Annex A 5.6	Contact With Special Interest Groups	The organization shall establish and maintain contact with special interest groups or other specialist security forums and professional associations.		DOC_PROFILE_OPERATOR_contactsigforumassoc exist, responsible for establishing and maintaining contact with special interest groups or other specialist security forums and professional associations.		CHM	MIR						ORG	
97	Organisational Controls	Annex A 5.6	Contact With Special Interest Groups	The organization shall establish and maintain contact with special interest groups or other specialist security forums and professional associations.		ORG_UNIT is an Organization type Team.		CHM	MIR						ORG	
98	Organisational Controls	Annex A 5.6	Contact With Special Interest Groups	The organization shall establish and maintain contact with special interest groups or other specialist security forums and professional associations.		ORG_UNIT_PERSONNEL is an Organization type Team type Personnel.		CHM	MIR						ORG	
99	Organisational Controls	Annex A 5.6	Contact With Special Interest Groups	The organization shall establish and maintain contact with special interest groups or other specialist security forums and professional associations.		ORG_UNIT_PERSONNEL exist, assigned with the DOC_PROFILE_contactsigforumassoc.		CHM	MIR						ORG	
100	Organisational Controls	Annex A 5.7	Threat Intelligence	Information relating to information security threats shall be collected and analysed to produce threat intelligence.	The OPS Calendar includes actions to collect and analyse information related to information security threats to produce threat intelligence.											
